,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
86,mama trattoria,8.0,,,2.0,,european,Pariser Platz 6a,10117,Berlin,52.516929596762495,13.377739214551184,wolt
87,SIIO,,,,2.0,,asian,Spandauer Str. 3,10178,Berlin,52.5200252,13.4037884,wolt
88,Anand,8.0,,,2.0,,middle eastern,Albrechtstraße 12,10117,Berlin,52.5211654,13.384961,wolt
89,Yuna,9.2,,,2.0,,bars,Oranienburger Straße 22,10178,Berlin,52.52435000000001,13.39617,wolt
90,Italofritzen,7.4,,,2.0,,european,Friedrichstraße 105,10117,Berlin,52.5227282,13.3881445,wolt
91,Salami Social Club II,7.8,,,2.0,,italian,Schönhauser Allee 176,10119,Berlin,52.53172205551587,13.412003162761234,wolt
92,Izumi Restaurant-Sushi Bar,8.2,,,3.0,,asian,Kronenstraße 66,10117,Berlin,52.51128484392625,13.38877091446268,wolt
93,The Indique,7.8,,,3.0,,middle eastern,Ziegelstraße 29,10117,Berlin,52.52367950000001,13.3906793,wolt
94,Restaurant acht&dreissig,8.0,,,3.0,,european,Oranienburger Str. 38,10117,Berlin,52.5254649,13.391443,wolt
95,Listo Lounge,,,,3.0,,fastfood,Mohrenstraße 30,10117,Berlin,52.5121406,13.3928272,wolt
96,Einstein Unter den Linden,8.8,,,4.0,,european,Unter den Linden 42,10117,Berlin,52.5174343,13.3859139,wolt
97,BunUp Mitte,7.8,,,1.0,,vegetarian or vegan,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
98,Machiavelli,8.4,,,2.0,,european,Albrechtstr.13 Berlin,10117, Berlin,52.52130280012305,13.385180090564926,wolt
99,Pizza Peppino,,,,1.0,,european,Tucholskystraße 13,10117,Berlin,52.52339332586772,13.391764043640274,wolt
100,Fresh's,7.8,,,1.0,,poke,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
101,Bombay,8.4,,,2.0,,middle eastern,Friedrichstraße 106c,10117, Berlin,52.5232743,13.3884602,wolt
102,Goodtime,8.8,,,3.0,,asian,Hausvogteiplatz 11a ,10117,Berlin,52.512719989573846,13.396920166606986,wolt
103,Da Vinci Ristorante,7.6,,,2.0,,italian,Georgenstraße 192,10117,Berlin,52.5201646,13.3913112,wolt
104,Ristorante Bella Vita,7.6,,,2.0,,italian,Mittelstraße 62,10117,Berlin,52.5179452,13.389358,wolt
105,Rotes Kamel,8.6,,,2.0,,steak, Hannah-Arendt-Str. 4,10117,Berlin,52.5140041,13.3811706,wolt
106,Restaurant Aposto,8.0,,,2.0,,european,Monbijouplatz 12,10178,Berlin,52.52256,13.39942,wolt
107,Umami Prenzlauer Berg,8.8,,,2.0,,asian,Knaackstraße 16-18,10405,Berlin,52.53461799999999,13.4197911,wolt
108,Brammibal's Donuts - Mitte,9.6,,,1.0,,breakfast/dessert,Rosa-Luxemburg-Straße 5,10178,Berlin,52.52366362530687,13.40920530037585,wolt
109,Tommi's Burger Joint Mitte,7.6,,,2.0,,american,Invalidenstrasse 160,10115,Berlin,52.53238289999999,13.3976359,wolt
110,Transit Mitte,8.8,,,1.0,,asian,Rosenthalerstraße 68,10119,Berlin,52.52864513176107,13.4022783,wolt
111,Kebap with attitude,8.2,,,2.0,,middle eastern,Gipsstraße 2,10119,Berlin,52.52724314420447,13.39913771682263,wolt
112,Mr Imbiss Berlin,,,,,,,Schützenstraße 2,10117, Berlin,52.508507041615765,13.390493204098584,wolt
113,Chupenga - Burritos & Salads Georgenstr.,8.4,,,1.0,,poke,Georgenstraße 200,10117,Berlin,52.51995687003612,13.389513147222218,wolt
114,Noumi,9.2,,,2.0,,asian,Jägerstr. 35,10117,Berlin,52.5143007,13.397416,wolt
115,auf die Hand - Friedrichstrasse,7.6,,,1.0,,european,Friedrichstraße 63,10117,Berlin,52.51169119999999,13.3898889,wolt
