restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
Kandaka,1,2.90,Gärtnerstrasse 26,berlin,52.509856523781586,13.460208518773669,"52.509856523781586,13.460208518773669",https://wolt.com/en/deu/berlin/restaurant/kandaka,wolt
Pi,1,2.90,Gärtnerstraße 17,berlin,52.51144763433424,13.461399517954183,"52.51144763433424,13.461399517954183",https://wolt.com/en/deu/berlin/restaurant/pi,wolt
Aleppo Supper Club,1,2.90,Rigaer Straße 58,berlin,52.5157743,13.4710844,"52.5157743,13.4710844",https://wolt.com/en/deu/berlin/restaurant/aleppo-supper-club,wolt
Fabis Esskultur,1,2.90,Neue Bahnhofstraße 7B,berlin,52.506331,13.4706574,"52.506331,13.4706574",https://wolt.com/en/deu/berlin/restaurant/fabis-esskultur,wolt
Must Pizza,1,2.90,Hermann-Blankenstein-Straße 40,berlin,52.5224041,13.4654764,"52.5224041,13.4654764",https://wolt.com/en/deu/berlin/restaurant/must-pizza,wolt
Vineria del Este,1,2.90,Bänschstraße 41,berlin,52.51882519999999,13.4644516,"52.51882519999999,13.4644516",https://wolt.com/en/deu/berlin/restaurant/vineria-del-este,wolt
Fedora,1,2.90,Frankfurter Allee 113-117,berlin,52.51423759999999,13.4763743,"52.51423759999999,13.4763743",https://wolt.com/en/deu/berlin/restaurant/fedora,wolt
Chat Junction and Samadhi Eis,1,2.90,Rigaer Str. 42,berlin,52.5158323,13.4676786,"52.5158323,13.4676786",https://wolt.com/en/deu/berlin/restaurant/sweet-vice,wolt
Peggy Bee Gelato,1,2.90,Weichselstraße 13,berlin,52.51142995544524,13.468849380533653,"52.51142995544524,13.468849380533653",https://wolt.com/en/deu/berlin/restaurant/peggy-bee-gelato,wolt
Ponchy Vegetarian & Veggie Streetfood - Friedrichshain,1,2.90,Sonntagstraße 9,berlin,52.50588926601731,13.466320042224133,"52.50588926601731,13.466320042224133",https://wolt.com/en/deu/berlin/restaurant/ponchy-vegan-vegetarian-street-food,wolt
Knoedelwirtschaft,1,2.90,Fuldastraße 33,berlin,52.486671800000046,13.439339699999996,"52.486671800000046,13.439339699999996",https://wolt.com/en/deu/berlin/restaurant/kndelwirtschaft,wolt
Dunkin' Donuts Ostbahnhof,2,1.90,Am Ostbahnhof 9,berlin,52.51065546007712,13.43408692216471,"52.51065546007712,13.43408692216471",https://wolt.com/en/deu/berlin/restaurant/dunkin-donuts-ostbahnhof,wolt
Camelina,1,2.90,Waldeyerstraße 12,berlin,52.51462290000001,13.4710266,"52.51462290000001,13.4710266",https://wolt.com/en/deu/berlin/restaurant/camelina,wolt
Glory Duck,2,0.00,Sonntagstraße 31,berlin,52.50556,13.46624,"52.50556,13.46624",https://wolt.com/en/deu/berlin/restaurant/glory-duck,wolt
Coppa di Pasta,1,2.90,Neue Bahnhofstraße 25 ,berlin,52.5068542,13.4705343,"52.5068542,13.4705343",https://wolt.com/en/deu/berlin/restaurant/coppa-di-pasta,wolt
Bye Bye Cavaliere,2,2.90,Proskauerstr. 28,berlin,52.51754889999999,13.4609439,"52.51754889999999,13.4609439",https://wolt.com/en/deu/berlin/restaurant/bye-bye-cavaliere,wolt
BBI - BerlinBurgerInternational,2,2.90,Pannierstraße 5,berlin,52.48652556201917,13.430899798148362,"52.48652556201917,13.430899798148362",https://wolt.com/en/deu/berlin/restaurant/bbi-berlinburgerinternational,wolt
BURGER KING® Prenzlauer Berg,2,2.90,Landsberger Allee 119,berlin,52.5294578,13.4579806,"52.5294578,13.4579806",https://wolt.com/en/deu/berlin/restaurant/burger-king,wolt
JAPA,2,2.90,Jungstraße 29,berlin,52.511916596708275,13.466508771163609,"52.511916596708275,13.466508771163609",https://wolt.com/en/deu/berlin/restaurant/japa,wolt
W Pizza,2,2.90,Fuldastraße 31,berlin,52.48690162583571,13.43973316997817,"52.48690162583571,13.43973316997817",https://wolt.com/en/deu/berlin/restaurant/w-pizza,wolt
Cooquin Café ,1,2.90,Möllendorffstraße 115,berlin,52.51544,13.47823,"52.51544,13.47823",https://wolt.com/en/deu/berlin/restaurant/cooquin-caf,wolt
Thronburger,1,2.90,Neue Bahnhofstr. 7A,berlin,52.505813078823635,13.470173644179825,"52.505813078823635,13.470173644179825",https://wolt.com/en/deu/berlin/restaurant/thronburger,wolt
Datscha - Friedrichshain,2,2.90,Gabriel-Max-Straße 1,berlin,52.50931199999999,13.457973,"52.50931199999999,13.457973",https://wolt.com/en/deu/berlin/restaurant/datscha-friedrichshain,wolt
