Name,lat,lon
Black & White,52.50113,13.32534
Cafe Lebensart,52.49761,13.3241
Haagen-Dazs,52.50254,13.32378
Marooush,52.50158,13.32151
Maredo Steakhaus,52.50243,13.32628
Sushi Em,52.4973,13.32045
Adéle's Café Lita,52.50386,13.32549
George's Steakhouse,52.49763,13.32464
Epoque,52.50395,13.32246
Seegert's Weinrestaurant,52.49707,13.32041
Hummus Room,52.50048,13.32131
Nah am Wasser,52.50395,13.32246
Viet Bowl,52.49841,13.32482
Ristorante da Toni,52.49825,13.31911
Brasserie le Paris,52.50213,13.3247
Café-Restaurant Wintergarten im Literaturhaus,52.50212,13.32684
Schildkrote,52.50209,13.32549
Kuchel-Eck,52.49798,13.32232
Grune Lampe,52.49649,13.32387
Restaurante Serrano,52.49884,13.32302
Factory,52.49973,13.32264
Pincho Nation,52.50166,13.32927
La Caleta,52.50009,13.31516
Handoyo's - Sate & Coffee,52.49801,13.32199
Mine Wine,52.50079,13.32866
The Fox Bar,52.50268,13.32227
Ludwig,52.49763,13.3235
Trattoria Aurora,52.5032,13.32235
Namaste,52.49621,13.32742
Inizio Ristorante Bar,52.50382,13.32785
Cafe Sidney Berlin,52.49841,13.31835
Trattoria Pizzeria da Luca,52.50006,13.31947
Blueberry Coffees,52.50062,13.32523
Calcutta Restaurant Berlin,52.50324,13.3195
Cassambalis Taverna,52.50351,13.32409
Route 66,52.49783,13.3196
Grace Bar,52.50362,13.32917
Absetzbar,52.503,13.31575
Sweet2go,52.49805,13.32288
Ristorante-Arlecchino,52.50235,13.32938
Call A Pizza,52.4953,13.32786
Kaffeehaus Mila,52.50374,13.32445
"Tommi's Burger Joint, Kudamm",52.50209,13.32549
I-Ke-Su,52.49855,13.32485
Pizza Factory,52.49794,13.3191
Friends Cocktailbar,52.49827,13.31751
Diekmann,52.50134,13.32875
Rum Trader,52.49848,13.32665
Miro,52.50025,13.32474
Nixx,52.50395,13.32186
1900 Cafe Bistro,52.50395,13.32246
Don Quijote,52.5032,13.31993
Khon Thai,52.49564,13.32426
Cyclo,52.49847,13.31904
Klemke Wein,52.50319,13.31764
Luardi,52.50212,13.32934
Wintergarten im Literaturhaus,52.50212,13.32684
Markus Semmler,52.49753,13.31834
May,52.49983,13.32437
Shan's Kitchen,52.5011,13.31829
Ojo de Agua,52.49763,13.3235
Annalee,52.50324,13.3195
Paulo Scutarro,52.50177,13.31729
Soupkultur,52.50318,13.32973
